order_id,order_date,product,category,region,segment,gender,age_group,channel,quantity,unit_price,discount,revenue,cost,profit
ORD-11570,2022-02-09,Headphones Elite,Electronics,West,SMB,Non-binary,25-34,Direct Sales,18,299.67,0.15,4584.95,2894.24,1690.71
ORD-10053,2022-02-09,Headphones Elite,Electronics,East,Individual,Female,18-24,Partner,18,113.02,0.1,1830.92,926.55,904.37
ORD-11931,2022-02-09,Notebook Set,Stationery,West,Individual,Non-binary,18-24,Partner,4,17.96,0.05,68.25,37.78,30.47
ORD-11315,2022-02-09,Pen Collection,Stationery,Central,Enterprise,Male,55+,Online,10,10.71,0.15,91.04,49.62,41.42
ORD-10297,2022-02-09,Office Chair,Furniture,West,SMB,Non-binary,55+,Retail,13,345.48,0.1,4042.12,2303.69,1738.43
ORD-10657,2022-02-10,Notebook Set,Stationery,Central,SMB,Non-binary,18-24,Partner,2,22.89,0.0,45.78,24.19,21.59
ORD-11904,2022-02-10,Ergonomic Pillow,Furniture,North,SMB,Non-binary,25-34,Online,2,50.97,0.15,86.65,48.14,38.51
ORD-11964,2022-02-10,Monitor 27in,Electronics,North,Startup,Male,25-34,Partner,4,286.56,0.05,1088.93,704.34,384.59
ORD-11626,2022-02-10,Monitor 27in,Electronics,South,SMB,Female,35-44,Retail,19,349.79,0.1,5981.41,3555.36,2426.05
ORD-11530,2022-02-12,Notebook Set,Stationery,South,Startup,Female,35-44,Retail,8,23.19,0.05,176.24,95.53,80.71
ORD-10662,2022-02-13,Office Chair,Furniture,East,Individual,Non-binary,35-44,Direct Sales,20,158.7,0.0,3174.0,1976.36,1197.64
ORD-11209,2022-02-13,Wireless Mouse,Electronics,South,Startup,Female,55+,Partner,13,45.12,0.0,586.56,355.41,231.15
ORD-11547,2022-02-13,Notebook Set,Stationery,South,Individual,Non-binary,18-24,Direct Sales,11,13.56,0.15,126.79,70.64,56.15
ORD-10093,2022-02-14,Headphones Elite,Electronics,Central,Startup,Non-binary,35-44,Direct Sales,13,168.62,0.2,1753.65,1168.4,585.25
ORD-11670,2022-02-15,Planner 2024,Stationery,West,SMB,Male,18-24,Partner,18,25.07,0.2,361.01,249.51,111.5
ORD-11735,2022-02-17,Pen Collection,Stationery,West,Enterprise,Non-binary,45-54,Partner,20,8.55,0.0,171.0,117.27,53.73
ORD-10855,2022-02-17,Wireless Mouse,Electronics,North,Enterprise,Male,45-54,Retail,19,45.05,0.2,684.76,390.23,294.53
ORD-10966,2022-02-17,Headphones Elite,Electronics,East,Enterprise,Female,18-24,Retail,19,316.73,0.0,6017.87,3398.78,2619.09
ORD-10284,2022-02-18,Monitor 27in,Electronics,South,SMB,Male,18-24,Partner,8,412.46,0.0,3299.68,2269.35,1030.33
ORD-11374,2022-02-18,Headphones Elite,Electronics,East,SMB,Non-binary,18-24,Retail,1,107.77,0.0,107.77,54.08,53.69
ORD-11518,2022-02-19,Notebook Set,Stationery,East,Enterprise,Male,18-24,Online,1,11.25,0.05,10.69,6.84,3.85
ORD-11248,2022-02-19,Headphones Elite,Electronics,West,Enterprise,Male,55+,Retail,11,124.7,0.15,1165.94,758.41,407.53
ORD-10382,2022-02-20,Pen Collection,Stationery,West,Enterprise,Female,35-44,Direct Sales,17,17.33,0.1,265.15,153.41,111.74
ORD-11815,2022-02-21,Monitor 27in,Electronics,North,Enterprise,Female,25-34,Retail,17,373.28,0.1,5711.18,3819.8,1891.38
ORD-11118,2022-02-21,Notebook Set,Stationery,North,Individual,Non-binary,35-44,Retail,12,22.83,0.1,246.56,155.86,90.7
ORD-10372,2022-02-21,Headphones Elite,Electronics,Central,Startup,Female,18-24,Online,13,136.33,0.0,1772.29,886.1,886.19
ORD-10074,2022-02-22,Monitor 27in,Electronics,North,Enterprise,Female,35-44,Direct Sales,3,318.68,0.2,764.83,456.44,308.39
ORD-11232,2022-02-22,Pen Collection,Stationery,Central,Startup,Male,35-44,Partner,18,6.89,0.05,117.82,81.74,36.08
ORD-10960,2022-02-23,Headphones Elite,Electronics,South,Enterprise,Female,18-24,Online,5,297.63,0.2,1190.52,779.8,410.72
ORD-10298,2022-02-23,Monitor 27in,Electronics,East,Startup,Female,35-44,Retail,11,429.13,0.0,4720.43,3181.29,1539.14
ORD-11549,2022-02-25,Standing Desk,Furniture,East,Individual,Female,55+,Online,13,361.6,0.15,3995.68,1870.66,2125.02
ORD-11263,2022-02-26,Office Chair,Furniture,North,Startup,Male,35-44,Direct Sales,20,272.7,0.05,5181.3,3609.04,1572.26
ORD-10964,2022-02-26,Wireless Mouse,Electronics,North,Individual,Male,55+,Retail,20,49.77,0.0,995.4,590.22,405.18
ORD-11380,2022-02-27,Monitor 27in,Electronics,South,Individual,Male,18-24,Retail,17,383.33,0.2,5213.29,2582.19,2631.1
ORD-11180,2022-02-27,Office Chair,Furniture,South,Startup,Female,35-44,Retail,7,295.81,0.05,1967.14,1172.53,794.61
ORD-10930,2022-02-27,Wireless Mouse,Electronics,North,Enterprise,Female,55+,Direct Sales,8,34.88,0.2,223.23,106.4,116.83
ORD-11687,2022-02-27,Pen Collection,Stationery,North,SMB,Non-binary,35-44,Direct Sales,19,11.25,0.0,213.75,121.31,92.44
ORD-10643,2022-02-27,Headphones Elite,Electronics,Central,Startup,Female,35-44,Online,19,111.28,0.1,1902.89,1022.27,880.62
ORD-11222,2022-02-28,Notebook Set,Stationery,Central,Startup,Male,18-24,Direct Sales,16,10.51,0.05,159.75,108.37,51.38
ORD-10357,2022-03-01,Planner 2024,Stationery,West,SMB,Non-binary,45-54,Direct Sales,5,24.66,0.15,104.8,50.12,54.68
ORD-10246,2022-03-01,Headphones Elite,Electronics,South,SMB,Non-binary,45-54,Partner,20,320.77,0.15,5453.09,3261.22,2191.87
ORD-11874,2022-03-01,Planner 2024,Stationery,Central,Startup,Female,25-34,Retail,7,20.42,0.05,135.79,62.69,73.1
ORD-11960,2022-03-02,Headphones Elite,Electronics,Central,Enterprise,Male,25-34,Retail,7,232.04,0.1,1461.85,932.66,529.19
ORD-11936,2022-03-02,Laptop Pro,Electronics,East,SMB,Male,35-44,Partner,9,1499.34,0.15,11469.95,7744.41,3725.54
ORD-10639,2022-03-06,Notebook Set,Stationery,Central,Startup,Non-binary,55+,Online,14,23.2,0.0,324.8,177.31,147.49
ORD-11053,2022-03-06,Headphones Elite,Electronics,South,Individual,Non-binary,18-24,Direct Sales,18,290.75,0.0,5233.5,3545.77,1687.73
ORD-11763,2022-03-07,Office Chair,Furniture,East,Startup,Female,55+,Direct Sales,15,220.63,0.15,2813.03,1336.11,1476.92
ORD-10306,2022-03-08,Notebook Set,Stationery,South,SMB,Non-binary,18-24,Partner,6,19.04,0.2,91.39,46.17,45.22
ORD-10931,2022-03-08,Standing Desk,Furniture,Central,Enterprise,Female,25-34,Retail,8,407.67,0.2,2609.09,1542.49,1066.6
ORD-11446,2022-03-08,Wireless Mouse,Electronics,South,Enterprise,Male,45-54,Retail,5,35.2,0.1,158.4,98.16,60.24
ORD-10310,2022-03-10,Wireless Mouse,Electronics,West,SMB,Male,45-54,Online,10,25.7,0.1,231.3,159.11,72.19
ORD-11587,2022-03-11,Ergonomic Pillow,Furniture,North,SMB,Male,18-24,Direct Sales,20,74.59,0.05,1417.21,872.4,544.81
ORD-11051,2022-03-11,Standing Desk,Furniture,West,Individual,Male,18-24,Partner,9,411.19,0.15,3145.6,1651.76,1493.84
ORD-11228,2022-03-12,Notebook Set,Stationery,South,Startup,Female,35-44,Retail,13,19.48,0.05,240.58,167.17,73.41
ORD-10444,2022-03-13,Monitor 27in,Electronics,South,SMB,Non-binary,25-34,Online,12,508.11,0.1,5487.59,3655.07,1832.52
ORD-11509,2022-03-13,Office Chair,Furniture,West,Individual,Male,25-34,Direct Sales,18,193.77,0.15,2964.68,1414.54,1550.14
ORD-10565,2022-03-13,Headphones Elite,Electronics,South,Enterprise,Female,35-44,Online,3,117.6,0.1,317.52,204.58,112.94
ORD-11990,2022-03-14,Standing Desk,Furniture,South,Individual,Male,18-24,Online,7,422.19,0.2,2364.26,1319.03,1045.23
ORD-10997,2022-03-15,Laptop Pro,Electronics,South,Enterprise,Male,18-24,Online,19,1359.71,0.0,25834.49,15062.36,10772.13
ORD-10511,2022-03-15,Planner 2024,Stationery,Central,SMB,Female,55+,Direct Sales,3,30.37,0.1,82.0,44.46,37.54
ORD-11589,2022-03-15,Wireless Mouse,Electronics,North,Startup,Female,45-54,Partner,15,28.21,0.05,401.99,204.54,197.45
ORD-10952,2022-03-16,Laptop Pro,Electronics,West,SMB,Non-binary,45-54,Online,7,1647.42,0.05,10955.34,6080.7,4874.64
ORD-10151,2022-03-16,Pen Collection,Stationery,East,Individual,Non-binary,45-54,Direct Sales,7,9.29,0.0,65.03,43.34,21.69
ORD-10862,2022-03-17,Ergonomic Pillow,Furniture,South,Enterprise,Non-binary,18-24,Retail,7,47.08,0.05,313.08,215.82,97.26
ORD-11639,2022-03-17,Pen Collection,Stationery,Central,Individual,Male,25-34,Retail,10,13.58,0.15,115.43,62.92,52.51
ORD-10085,2022-03-17,Monitor 27in,Electronics,West,Individual,Non-binary,25-34,Partner,5,400.69,0.2,1602.76,854.27,748.49
ORD-10239,2022-03-17,Planner 2024,Stationery,West,Individual,Non-binary,55+,Partner,12,29.03,0.2,278.69,166.78,111.91
ORD-11363,2022-03-18,Office Chair,Furniture,South,Enterprise,Female,45-54,Online,16,258.12,0.15,3510.43,1941.64,1568.79
ORD-10523,2022-03-18,Notebook Set,Stationery,South,Startup,Male,18-24,Direct Sales,7,23.7,0.15,141.02,81.3,59.72
ORD-11975,2022-03-18,Notebook Set,Stationery,West,Startup,Male,35-44,Online,7,20.04,0.2,112.22,50.53,61.69
ORD-11288,2022-03-19,Laptop Pro,Electronics,West,Individual,Male,18-24,Retail,13,1310.69,0.0,17038.97,8697.34,8341.63
ORD-10385,2022-03-19,Headphones Elite,Electronics,North,SMB,Male,45-54,Direct Sales,3,118.31,0.05,337.18,218.68,118.5
ORD-11293,2022-03-20,Ergonomic Pillow,Furniture,North,SMB,Non-binary,35-44,Direct Sales,5,85.08,0.05,404.13,182.45,221.68
ORD-11122,2022-03-20,Monitor 27in,Electronics,West,SMB,Female,55+,Online,12,258.65,0.05,2948.61,1847.04,1101.57
ORD-11754,2022-03-21,Office Chair,Furniture,West,Enterprise,Female,35-44,Partner,14,261.95,0.2,2933.84,1722.13,1211.71
ORD-10353,2022-03-22,Notebook Set,Stationery,East,Individual,Male,18-24,Retail,10,15.4,0.1,138.6,77.13,61.47
ORD-11395,2022-03-23,Laptop Pro,Electronics,West,Enterprise,Non-binary,18-24,Retail,12,1366.43,0.1,14757.44,8354.58,6402.86
ORD-10813,2022-03-23,Planner 2024,Stationery,West,Startup,Male,35-44,Direct Sales,17,30.84,0.15,445.64,272.74,172.9
ORD-11186,2022-03-24,Office Chair,Furniture,South,SMB,Non-binary,45-54,Retail,20,216.44,0.1,3895.92,1842.15,2053.77
ORD-11879,2022-03-24,Pen Collection,Stationery,Central,Enterprise,Male,25-34,Direct Sales,19,16.73,0.1,286.08,156.29,129.79
ORD-11314,2022-03-24,Standing Desk,Furniture,East,Startup,Female,45-54,Direct Sales,9,600.0,0.15,4590.0,2822.17,1767.83
ORD-10290,2022-03-24,Monitor 27in,Electronics,East,Enterprise,Male,25-34,Direct Sales,7,500.78,0.1,3154.91,1536.7,1618.21
ORD-11522,2022-03-24,Notebook Set,Stationery,Central,Enterprise,Female,45-54,Partner,17,16.52,0.0,280.84,129.48,151.36
ORD-11793,2022-03-25,Wireless Mouse,Electronics,West,Enterprise,Female,35-44,Partner,6,45.37,0.2,217.78,109.88,107.9
ORD-11462,2022-03-25,Planner 2024,Stationery,East,Individual,Female,18-24,Retail,8,34.04,0.15,231.47,117.99,113.48
ORD-10595,2022-03-25,Pen Collection,Stationery,North,Enterprise,Female,35-44,Partner,12,10.5,0.2,100.8,63.12,37.68
ORD-11256,2022-03-25,Notebook Set,Stationery,Central,Enterprise,Female,25-34,Partner,8,18.22,0.1,131.18,59.9,71.28
ORD-11289,2022-03-26,Planner 2024,Stationery,East,Individual,Non-binary,25-34,Partner,17,30.34,0.05,489.99,314.64,175.35
ORD-11682,2022-03-26,Standing Desk,Furniture,East,Individual,Non-binary,55+,Retail,14,354.98,0.1,4472.75,2454.63,2018.12
ORD-10166,2022-03-26,Ergonomic Pillow,Furniture,South,SMB,Male,55+,Direct Sales,1,44.06,0.2,35.25,18.19,17.06
ORD-11376,2022-03-27,Headphones Elite,Electronics,East,SMB,Female,45-54,Partner,16,344.25,0.15,4681.8,2480.92,2200.88
ORD-10499,2022-03-27,Monitor 27in,Electronics,East,Individual,Male,45-54,Partner,20,470.6,0.15,8000.2,5040.53,2959.67
ORD-11095,2022-03-28,Laptop Pro,Electronics,North,Enterprise,Non-binary,45-54,Partner,6,1369.85,0.0,8219.1,4171.2,4047.9
ORD-11893,2022-03-29,Office Chair,Furniture,West,SMB,Non-binary,35-44,Retail,14,244.25,0.1,3077.55,1895.19,1182.36
ORD-11369,2022-03-29,Pen Collection,Stationery,East,Individual,Female,55+,Retail,11,12.6,0.05,131.67,78.96,52.71
ORD-11328,2022-03-29,Pen Collection,Stationery,Central,SMB,Male,55+,Retail,12,11.15,0.15,113.73,60.4,53.33
ORD-10986,2022-03-30,Pen Collection,Stationery,Central,Enterprise,Non-binary,18-24,Direct Sales,4,5.72,0.1,20.59,9.65,10.94
ORD-11685,2022-03-31,Monitor 27in,Electronics,West,Enterprise,Female,25-34,Retail,9,346.37,0.2,2493.86,1181.09,1312.77
ORD-11383,2022-03-31,Monitor 27in,Electronics,South,Enterprise,Female,25-34,Partner,10,304.8,0.1,2743.2,1828.04,915.16
ORD-11748,2022-03-31,Standing Desk,Furniture,West,Enterprise,Non-binary,25-34,Retail,2,484.95,0.15,824.41,493.34,331.07
ORD-10805,2022-04-01,Wireless Mouse,Electronics,South,Enterprise,Non-binary,25-34,Retail,14,42.94,0.1,541.04,287.11,253.93
ORD-11365,2022-04-01,Notebook Set,Stationery,South,SMB,Non-binary,45-54,Online,19,22.53,0.15,363.86,214.58,149.28
ORD-10240,2022-04-01,Wireless Mouse,Electronics,North,SMB,Non-binary,35-44,Retail,19,59.43,0.15,959.79,663.89,295.9
ORD-10730,2022-04-02,Monitor 27in,Electronics,North,Enterprise,Non-binary,35-44,Online,14,394.35,0.1,4968.81,2938.76,2030.05
ORD-10483,2022-04-02,Pen Collection,Stationery,Central,Individual,Non-binary,25-34,Partner,8,8.0,0.1,57.6,28.17,29.43
ORD-11835,2022-04-03,Headphones Elite,Electronics,North,Startup,Non-binary,35-44,Partner,12,179.61,0.2,1724.26,807.26,917.0
ORD-10898,2022-04-04,Office Chair,Furniture,Central,Startup,Non-binary,25-34,Direct Sales,19,165.2,0.05,2981.86,1894.01,1087.85
ORD-11766,2022-04-04,Notebook Set,Stationery,East,SMB,Male,25-34,Partner,17,19.17,0.1,293.3,136.71,156.59
ORD-10387,2022-04-04,Wireless Mouse,Electronics,Central,Enterprise,Non-binary,55+,Online,3,37.52,0.2,90.05,42.91,47.14
ORD-11844,2022-04-04,Planner 2024,Stationery,East,SMB,Male,18-24,Retail,6,17.42,0.0,104.52,56.23,48.29
ORD-10744,2022-04-04,Headphones Elite,Electronics,East,SMB,Non-binary,55+,Direct Sales,6,284.8,0.2,1367.04,639.07,727.97
ORD-11091,2022-04-04,Notebook Set,Stationery,North,Startup,Female,25-34,Direct Sales,10,16.71,0.05,158.75,94.16,64.59
ORD-11729,2022-04-05,Planner 2024,Stationery,West,Individual,Male,35-44,Online,14,23.66,0.15,281.55,156.41,125.14
ORD-10709,2022-04-06,Ergonomic Pillow,Furniture,South,Individual,Female,35-44,Direct Sales,18,53.37,0.05,912.63,605.39,307.24
ORD-10401,2022-04-06,Standing Desk,Furniture,Central,Startup,Female,45-54,Partner,2,692.24,0.1,1246.03,592.87,653.16
ORD-11962,2022-04-07,Laptop Pro,Electronics,Central,SMB,Male,45-54,Partner,12,1389.37,0.2,13337.95,8874.55,4463.4
ORD-10374,2022-04-07,Ergonomic Pillow,Furniture,South,Individual,Male,55+,Direct Sales,13,59.38,0.1,694.75,480.39,214.36
ORD-11881,2022-04-07,Wireless Mouse,Electronics,South,Enterprise,Male,18-24,Online,4,43.58,0.2,139.46,64.22,75.24
ORD-10436,2022-04-08,Ergonomic Pillow,Furniture,Central,Startup,Female,35-44,Direct Sales,13,44.95,0.05,555.13,258.14,296.99
ORD-11953,2022-04-09,Pen Collection,Stationery,North,Enterprise,Non-binary,18-24,Online,18,13.93,0.1,225.67,128.61,97.06
ORD-10347,2022-04-09,Wireless Mouse,Electronics,East,Enterprise,Female,35-44,Online,4,47.87,0.0,191.48,88.48,103.0
ORD-10729,2022-04-10,Monitor 27in,Electronics,North,SMB,Male,55+,Partner,10,516.72,0.05,4908.84,2433.65,2475.19
ORD-11214,2022-04-11,Headphones Elite,Electronics,North,Individual,Non-binary,25-34,Partner,15,209.64,0.05,2987.37,1497.89,1489.48
ORD-10509,2022-04-11,Standing Desk,Furniture,Central,Startup,Non-binary,55+,Retail,6,359.3,0.1,1940.22,890.91,1049.31
ORD-11742,2022-04-12,Pen Collection,Stationery,West,Enterprise,Non-binary,55+,Online,3,14.48,0.05,41.27,28.12,13.15
ORD-11850,2022-04-12,Office Chair,Furniture,Central,Individual,Male,35-44,Retail,12,298.39,0.0,3580.68,1771.76,1808.92
ORD-11697,2022-04-13,Notebook Set,Stationery,Central,Individual,Female,45-54,Partner,11,21.84,0.1,216.22,106.05,110.17
ORD-10478,2022-04-14,Planner 2024,Stationery,South,Startup,Non-binary,25-34,Retail,13,34.42,0.2,357.97,212.57,145.4
ORD-11568,2022-04-14,Ergonomic Pillow,Furniture,South,Individual,Non-binary,45-54,Retail,12,51.03,0.1,551.12,285.22,265.9
ORD-10876,2022-04-15,Office Chair,Furniture,North,Startup,Male,55+,Direct Sales,14,273.88,0.05,3642.6,1979.1,1663.5
ORD-10551,2022-04-16,Planner 2024,Stationery,East,Enterprise,Non-binary,45-54,Retail,10,31.18,0.2,249.44,113.95,135.49
ORD-10803,2022-04-18,Laptop Pro,Electronics,Central,Enterprise,Female,35-44,Partner,20,1202.8,0.15,20447.6,13122.83,7324.77
ORD-10555,2022-04-18,Office Chair,Furniture,South,Startup,Male,35-44,Online,6,266.0,0.15,1356.6,712.68,643.92
ORD-11350,2022-04-18,Notebook Set,Stationery,South,SMB,Male,55+,Online,8,17.18,0.0,137.44,69.37,68.07
ORD-10118,2022-04-18,Pen Collection,Stationery,East,Startup,Non-binary,55+,Online,5,7.36,0.2,29.44,13.61,15.83
ORD-11621,2022-04-19,Monitor 27in,Electronics,West,SMB,Non-binary,18-24,Partner,18,510.71,0.15,7813.86,5392.25,2421.61
